metric_category,category_value,total_pred,precision,recall,f1,missed_fraction,merged_fraction,split_fraction,user,algorithm,execution_time,f1_oracle,f1_as_pct_orac
building_type,retail,,0.8333333333333334,0.0834403080872914,0.15169194865810967,0.813953488372093,0.125,0.06666666666666667,unruffled_dijkstra,lachesis_fine,,0.3539355520338088,42.85863564325397
building_type,park,,1.0,0.02663934426229508,0.051896207584830344,0.8571428571428572,0.0,0.0,unruffled_dijkstra,lachesis_fine,,0.10116731517509726,51.29740518962077
dwell_length,mid,,0.9070063694267516,0.30156713257094453,0.452638270820089,0.35,0.38461538461538464,0.9230769230769231,unruffled_dijkstra,lachesis_fine,,0.68431317915854,66.14490040607897
dwell_length,high,,0.9247515380974917,0.2593403676421793,0.40507903601969425,0.16216216216216217,0.45161290322580644,0.9032258064516129,unruffled_dijkstra,lachesis_fine,,0.7723828920570266,52.445366175949225
dwell_length,low,,0.8828828828828829,0.09560975609756098,0.17253521126760563,0.8,0.09523809523809523,0.1,unruffled_dijkstra,lachesis_fine,,0.359343737494998,48.013974716898275
general,all,4708.0,0.9343670348343246,0.21691321499013808,0.3520890027213062,0.6642857142857144,0.2553191489361702,0.0,vigilant_boyd,ta-hdbscan,0.49633312225341797,0.3881480312475341,90.70998031077686
building_size,medium,,0.9195236376759293,0.18673506779039942,0.3104288499025341,0.6404494382022472,0.25,0.0,vigilant_boyd,ta-hdbscan,,0.3648227969348659,85.09031028506612
building_size,big,,0.9540229885057471,0.2323303009097271,0.37366347777152503,0.7837837837837838,0.25,0.0,vigilant_boyd,ta-hdbscan,,0.38359083644112946,97.41199274682674
building_size,small,,0.9941099476439791,0.3372557726465364,0.5036472148541113,0.5,0.2857142857142857,0.0,vigilant_boyd,ta-hdbscan,,0.5020753777187448,100.31306795854209
building_type,home,,0.9802329685845393,0.24932662955647333,0.39753775678190534,0.2941176470588235,0.08333333333333333,0.0,vigilant_boyd,ta-hdbscan,,0.4371009612011507,90.94872628270458
building_type,work,,0.9094858797972484,0.19842022116903635,0.3257683828297238,0.6578947368421053,0.07692307692307693,0.0,vigilant_boyd,ta-hdbscan,,0.3592534992223951,90.67925115130406
building_type,park,,0.8333333333333334,0.1606425702811245,0.26936026936026936,0.75,0.5,0.0,vigilant_boyd,ta-hdbscan,,0.26480836236933797,101.71894382420697
building_type,retail,,0.8486646884272997,0.1774193548387097,0.2934838378655721,0.7391304347826086,0.4444444444444444,0.0,vigilant_boyd,ta-hdbscan,,0.331877729257642,88.43131430423158
dwell_length,mid,,0.7086247086247086,0.13761883205070166,0.23047763457164516,0.75,0.2,0.0,vigilant_boyd,ta-hdbscan,,0.325801749271137,70.74168112579356
dwell_length,high,,0.9857868020304569,0.24985525892569957,0.398665640236079,0.37142857142857144,0.045454545454545456,0.0,vigilant_boyd,ta-hdbscan,,0.4253444084278768,93.72772565874189
dwell_length,low,,0.7589928057553957,0.11567982456140351,0.20076117982873454,0.7647058823529411,0.5,0.0,vigilant_boyd,ta-hdbscan,,0.2580340264650284,77.80414954534841
general,all,5066.0,0.9709830240821161,0.2425542406311637,0.3881480312475341,0.5857142857142856,0.05172413793103448,0.0,vigilant_boyd,oracle,0.006641864776611328,0.3881480312475341,100.0
building_size,medium,,0.9960771493952272,0.22330524001465737,0.3648227969348659,0.5730337078651686,0.02631578947368421,0.0,vigilant_boyd,oracle,,0.3648227969348659,100.0
building_size,big,,0.8035714285714286,0.25192442267319803,0.38359083644112946,0.6486486486486487,0.07692307692307693,0.0,vigilant_boyd,oracle,,0.38359083644112946,99.99999999999999
building_size,small,,0.9953917050691244,0.33570159857904086,0.5020753777187448,0.5,0.14285714285714285,0.0,vigilant_boyd,oracle,,0.5020753777187448,100.0
building_type,home,,1.0,0.2796731908780751,0.4371009612011507,0.2941176470588235,0.0,0.0,vigilant_boyd,oracle,,0.4371009612011507,99.99999999999999
building_type,work,,1.0,0.218957345971564,0.3592534992223951,0.631578947368421,0.0,0.0,vigilant_boyd,oracle,,0.3592534992223951,99.99999999999999
building_type,park,,1.0,0.15261044176706828,0.26480836236933797,0.8125,0.0,0.0,vigilant_boyd,oracle,,0.26480836236933797,100.0
building_type,retail,,0.7616926503340757,0.21215880893300249,0.331877729257642,0.5797101449275363,0.10344827586206896,0.0,vigilant_boyd,oracle,,0.331877729257642,100.00000000000001
dwell_length,mid,,0.8355140186915888,0.20235400633770936,0.325801749271137,0.65,0.14285714285714285,0.0,vigilant_boyd,oracle,,0.325801749271137,100.0
dwell_length,high,,1.0,0.2701190093277581,0.4253444084278768,0.37142857142857144,0.0,0.0,vigilant_boyd,oracle,,0.4253444084278768,100.0
dwell_length,low,,0.934931506849315,0.14967105263157895,0.2580340264650284,0.6588235294117647,0.06896551724137931,0.0,vigilant_boyd,oracle,,0.2580340264650284,100.0
general,all,4606.0,0.8905775075987842,0.2022682445759369,0.32966326448605643,0.65,0.3673469387755102,0.0,vigilant_boyd,tadbscan_coarse,0.03753185272216797,0.3881480312475341,84.93235517039628
building_size,medium,,0.8807057920981972,0.16826676438255772,0.2825498400196899,0.6292134831460674,0.3333333333333333,0.0,vigilant_boyd,tadbscan_coarse,,0.3648227969348659,77.44851538708403
building_size,big,,0.7928176795580111,0.20083974807557733,0.32049134561697373,0.7297297297297297,0.6,0.0,vigilant_boyd,tadbscan_coarse,,0.38359083644112946,83.5503132948694
building_size,small,,0.9941099476439791,0.3372557726465364,0.5036472148541113,0.5714285714285714,0.16666666666666666,0.0,vigilant_boyd,tadbscan_coarse,,0.5020753777187448,100.31306795854209
building_type,home,,0.9801629472192703,0.24842880229843778,0.3963899434137956,0.2941176470588235,0.08333333333333333,0.0,vigilant_boyd,tadbscan_coarse,,0.4371009612011507,90.68612942980461
building_type,work,,0.893526405451448,0.16571879936808848,0.27958422174840086,0.6578947368421053,0.07692307692307693,0.0,vigilant_boyd,tadbscan_coarse,,0.3592534992223951,77.82365999316958
building_type,park,,0.3958333333333333,0.07630522088353414,0.12794612794612795,0.75,0.75,0.0,vigilant_boyd,tadbscan_coarse,,0.26480836236933797,48.31649831649832
building_type,retail,,0.6138613861386139,0.15384615384615385,0.24603174603174602,0.7101449275362319,0.65,0.0,vigilant_boyd,tadbscan_coarse,,0.331877729257642,74.13324979114451
dwell_length,mid,,0.7086247086247086,0.13761883205070166,0.23047763457164516,0.75,0.2,0.0,vigilant_boyd,tadbscan_coarse,,0.325801749271137,70.74168112579356
dwell_length,high,,0.9849583669084072,0.2358957864265037,0.3806310981938966,0.37142857142857144,0.045454545454545456,0.0,vigilant_boyd,tadbscan_coarse,,0.4253444084278768,89.48773997071082
dwell_length,low,,0.37971014492753624,0.07182017543859649,0.12079299216228677,0.7411764705882353,0.7272727272727273,0.0,vigilant_boyd,tadbscan_coarse,,0.2580340264650284,46.81281527754556
general,all,3819.0,0.9363707776904949,0.17633136094674556,0.29677579982571894,0.7642857142857142,0.15151515151515152,0.07142857142857142,vigilant_boyd,tadbscan_fine,0.023889780044555664,0.3881480312475341,76.45943710492654
building_size,medium,,0.9075892857142858,0.14899230487358006,0.25596474661630475,0.752808988764045,0.18181818181818182,0.0,vigilant_boyd,tadbscan_fine,,0.3648227969348659,70.16139034261165
building_size,big,,0.9454545454545454,0.10916724982505248,0.19573400250941025,0.8378378378378378,0.16666666666666666,0.2,vigilant_boyd,tadbscan_fine,,0.38359083644112946,51.026767043078195
building_size,small,,1.0,0.30794849023090587,0.4708877949414361,0.6428571428571428,0.0,0.2,vigilant_boyd,tadbscan_fine,,0.5020753777187448,93.78826682977083
building_type,home,,0.9778918278720884,0.2223918118154067,0.362372906151708,0.2941176470588235,0.08333333333333333,0.09090909090909091,vigilant_boyd,tadbscan_fine,,0.4371009612011507,82.90370836886505
building_type,work,,0.8680042238648363,0.12985781990521328,0.22591727360175898,0.7105263157894737,0.09090909090909091,0.1,vigilant_boyd,tadbscan_fine,,0.3592534992223951,62.885197803433336
building_type,park,,0.8977272727272727,0.15863453815261044,0.2696245733788396,0.8125,0.3333333333333333,0.0,vigilant_boyd,tadbscan_fine,,0.26480836236933797,101.8187533680618
building_type,retail,,0.8839285714285714,0.1228287841191067,0.21568627450980393,0.8985507246376812,0.2857142857142857,0.0,vigilant_boyd,tadbscan_fine,,0.331877729257642,64.98968008255933
dwell_length,mid,,0.7058823529411765,0.13580805794477138,0.22779043280182232,0.75,0.2,0.0,vigilant_boyd,tadbscan_fine,,0.325801749271137,69.91688451993295
dwell_length,high,,0.982532751091703,0.2026375040205854,0.3359820809556823,0.4285714285714286,0.05,0.10526315789473684,vigilant_boyd,tadbscan_fine,,0.4253444084278768,78.99059545592989
dwell_length,low,,0.782608695652174,0.06907894736842106,0.12695214105793454,0.9058823529411765,0.375,0.0,vigilant_boyd,tadbscan_fine,,0.2580340264650284,49.19976748692115
general,all,3928.0,0.9414460285132383,0.18234714003944774,0.3055188367481824,0.7214285714285714,0.15384615384615385,0.35135135135135137,vigilant_boyd,lachesis_coarse,0.010442018508911133,0.3881480312475341,78.71193775380598
building_size,medium,,0.9558823529411765,0.16672773909857092,0.2839313572542902,0.6741573033707865,0.1724137931034483,0.2222222222222222,vigilant_boyd,lachesis_coarse,,0.3648227969348659,77.82719710495017
building_size,big,,1.0,0.22743177046885935,0.37058152793614596,0.8648648648648649,0.0,0.6,vigilant_boyd,lachesis_coarse,,0.38359083644112946,96.60854554668694
building_size,small,,0.9074380165289256,0.24378330373001778,0.38431921596079804,0.6428571428571428,0.2,0.8,vigilant_boyd,lachesis_coarse,,0.5020753777187448,76.5461189726153
building_type,home,,0.9506984387838948,0.20775722750942718,0.3409961685823754,0.2941176470588235,0.16666666666666666,0.6666666666666666,vigilant_boyd,lachesis_coarse,,0.4371009612011507,78.01313628899833
building_type,work,,0.9355692850838482,0.1674565560821485,0.2840680691410961,0.6578947368421053,0.15384615384615385,0.15384615384615385,vigilant_boyd,lachesis_coarse,,0.3592534992223951,79.0717612371103
building_type,park,,1.0,0.13052208835341367,0.23090586145648315,0.875,0.0,1.0,vigilant_boyd,lachesis_coarse,,0.26480836236933797,87.19734505001402
building_type,retail,,0.9151943462897526,0.1606699751861042,0.2733509234828496,0.8260869565217391,0.16666666666666666,0.1,vigilant_boyd,lachesis_coarse,,0.331877729257642,82.36494931259547
dwell_length,mid,,0.9579207920792079,0.1751923947487551,0.29621125143513205,0.75,0.2,0.2,vigilant_boyd,lachesis_coarse,,0.325801749271137,90.91763690581683
dwell_length,high,,0.9466181377009403,0.2007719523962689,0.33128118034178966,0.37142857142857144,0.13636363636363635,0.45454545454545453,vigilant_boyd,lachesis_coarse,,0.4253444084278768,77.8853968167218
dwell_length,low,,0.8878504672897196,0.10416666666666667,0.18645731108930325,0.8588235294117648,0.16666666666666666,0.2,vigilant_boyd,lachesis_coarse,,0.2580340264650284,72.26074546977392
general,all,2940.0,0.8363945578231292,0.12125246548323472,0.21180017226528855,0.7428571428571429,0.2777777777777778,0.5757575757575758,vigilant_boyd,lachesis_fine,0.013057708740234375,0.3881480312475341,54.56685470864
building_size,medium,,0.8434081750143926,0.10736533528765116,0.19048238200494086,0.7078651685393258,0.2692307692307692,0.4782608695652174,vigilant_boyd,lachesis_fine,,0.3648227969348659,52.21230241238156
building_size,big,,1.0,0.0979706088173548,0.17845761631612492,0.8648648648648649,0.0,0.6,vigilant_boyd,lachesis_fine,,0.38359083644112946,46.52290914241201
building_size,small,,0.8102466793168881,0.18960923623445827,0.30730478589420657,0.6428571428571428,0.6,1.0,vigilant_boyd,lachesis_fine,,0.5020753777187448,61.20690229632296
building_type,home,,0.8734309623430963,0.1499371520919375,0.2559386973180076,0.2941176470588235,0.3333333333333333,0.8333333333333334,vigilant_boyd,lachesis_fine,,0.4371009612011507,58.55367982140549
building_type,work,,0.7377260981912145,0.09020537124802527,0.1607545045045045,0.6842105263157895,0.25,0.6,vigilant_boyd,lachesis_fine,,0.3592534992223951,44.74681662181661
building_type,park,,1.0,0.10040160642570281,0.18248175182481752,0.875,0.0,1.0,vigilant_boyd,lachesis_fine,,0.26480836236933797,68.91087207068767
building_type,retail,,0.8615384615384616,0.10421836228287841,0.18594355285002767,0.855072463768116,0.3,0.1111111111111111,vigilant_boyd,lachesis_fine,,0.331877729257642,56.0277284245478
dwell_length,mid,,0.56797583081571,0.0851063829787234,0.14803149606299212,0.75,0.8,0.5,vigilant_boyd,lachesis_fine,,0.325801749271137,45.43606545826068
dwell_length,high,,0.8669930640554876,0.13669990350595046,0.23616359190931316,0.4,0.23809523809523808,0.75,vigilant_boyd,lachesis_fine,,0.4253444084278768,55.52290972442819
dwell_length,low,,0.9798657718120806,0.0800438596491228,0.14799797263051193,0.8823529411764706,0.1,0.2222222222222222,vigilant_boyd,lachesis_fine,,0.2580340264650284,57.35599085827165
general,all,5598.0,0.7036441586280815,0.19423076923076923,0.3044284720612103,0.4545454545454546,0.5277777777777778,0.05405405405405406,wonderful_austin,ta-hdbscan,0.5878567695617676,0.4887326549491212,62.289365971034286
building_size,small,,0.8232248520710059,0.19150034411562286,0.31072026800670016,0.33333333333333337,0.45454545454545453,0.13333333333333333,wonderful_austin,ta-hdbscan,,0.5673260615024343,54.7692568862125
building_size,big,,0.629708904109589,0.24987260064549005,0.357776967043658,0.4411764705882353,0.5,0.0,wonderful_austin,ta-hdbscan,,0.45546372819100095,78.55224135293217
building_size,medium,,0.6285714285714286,0.11388235294117648,0.19282868525896416,0.6129032258064516,0.75,0.0,wonderful_austin,ta-hdbscan,,0.21183053557154277,91.02969255055251
building_type,home,,0.826317785362154,0.19107330761136443,0.31037675379246493,0.10526315789473684,0.4117647058823529,0.15384615384615385,wonderful_austin,ta-hdbscan,,0.5725372387032168,54.21075395819857
building_type,park,,0.39855072463768115,0.13784461152882205,0.20484171322160147,0.6428571428571428,0.4,0.0,wonderful_austin,ta-hdbscan,,0.13986013986013984,146.46182495344507
building_type,retail,,0.2746268656716418,0.06084656084656084,0.0996210070384407,0.5932203389830508,0.7916666666666666,0.0,wonderful_austin,ta-hdbscan,,0.12037037037037036,82.76206738578152
building_type,work,,0.6967602591792657,0.2551811422243316,0.37355257063455305,0.35,0.38461538461538464,0.0,wonderful_austin,ta-hdbscan,,0.46148229280759406,80.94624137405386
dwell_length,mid,,0.3044822256568779,0.09443911792905081,0.14416392242956458,0.47058823529411764,0.5555555555555556,0.0,wonderful_austin,ta-hdbscan,,0.22140822140822142,65.11227158261768
dwell_length,low,,0.375,0.12637913741223672,0.18904726181545387,0.5625,0.7142857142857143,0.0,wonderful_austin,ta-hdbscan,,0.14852398523985239,127.28399491177143
dwell_length,high,,0.84997564539698,0.22435073283620469,0.35499949140474013,0.19999999999999996,0.2857142857142857,0.08695652173913043,wonderful_austin,ta-hdbscan,,0.568048971326,62.49452236064486
general,all,6745.0,0.9790956263899184,0.32564102564102565,0.4887326549491212,0.4772727272727273,0.043478260869565216,0.0,wonderful_austin,oracle,0.004268169403076172,0.4887326549491212,100.0
building_size,small,,1.0,0.39599105299380594,0.5673260615024343,0.33333333333333337,0.0,0.0,wonderful_austin,oracle,,0.5673260615024343,100.0
building_size,big,,1.0,0.29488703923900117,0.45546372819100095,0.47058823529411764,0.027777777777777776,0.0,wonderful_austin,oracle,,0.45546372819100095,100.0
building_size,medium,,0.7029177718832891,0.12470588235294118,0.21183053557154277,0.6451612903225806,0.18181818181818182,0.0,wonderful_austin,oracle,,0.21183053557154277,100.0
building_type,home,,1.0,0.40108733777621886,0.5725372387032168,0.052631578947368474,0.0,0.0,wonderful_austin,oracle,,0.5725372387032168,100.0
building_type,park,,1.0,0.07518796992481203,0.13986013986013984,0.6428571428571428,0.0,0.0,wonderful_austin,oracle,,0.13986013986013984,100.0
building_type,retail,,0.48148148148148145,0.06878306878306878,0.12037037037037036,0.6779661016949152,0.10526315789473684,0.0,wonderful_austin,oracle,,0.12037037037037036,100.0
building_type,work,,1.0,0.299952539155197,0.46148229280759406,0.32499999999999996,0.037037037037037035,0.0,wonderful_austin,oracle,,0.46148229280759406,100.0
dwell_length,mid,,0.7331536388140162,0.13039309683604985,0.22140822140822142,0.4117647058823529,0.2,0.0,wonderful_austin,oracle,,0.22140822140822142,100.0
dwell_length,low,,0.9252873563218391,0.08074222668004012,0.14852398523985239,0.625,0.03333333333333333,0.0,wonderful_austin,oracle,,0.14852398523985239,100.0
dwell_length,high,,1.0,0.39669580869118026,0.568048971326,0.17142857142857137,0.0,0.0,wonderful_austin,oracle,,0.568048971326,100.0
