metric_category,category_value,total_pred,precision,recall,f1,missed_fraction,merged_fraction,split_fraction,user,algorithm,execution_time,f1_oracle,f1_as_pct_orac
general,all,10881.0,0.926661152467604,0.497189349112426,0.6471550977183017,0.48765432098765427,0.18072289156626506,0.08823529411764706,unruffled_dijkstra,ta-hdbscan,3.2421069145202637,0.7095933098031734,91.2008454388908
building_size,medium,,0.96,0.5265334252239835,0.6800682441955345,0.5178571428571428,0.14814814814814814,0.2608695652173913,unruffled_dijkstra,ta-hdbscan,,0.7602705589177644,89.45081934562916
building_size,big,,0.8943196829590488,0.3908023859919184,0.5439207284413498,0.5079365079365079,0.16129032258064516,0.0,unruffled_dijkstra,ta-hdbscan,,0.5679250482226509,95.77332962220564
building_size,small,,0.9275207274672372,0.6218396987627757,0.7445255474452555,0.41860465116279066,0.24,0.0,unruffled_dijkstra,ta-hdbscan,,0.8051419389394752,92.47134094467081
building_type,home,,0.9686221009549796,0.6355173648406731,0.7674845962598639,0.15384615384615385,0.09090909090909091,0.25,unruffled_dijkstra,ta-hdbscan,,0.8397549070516149,91.39388050193209
building_type,work,,0.8843492586490939,0.42861705525391247,0.5773905560933634,0.2777777777777778,0.11538461538461539,0.043478260869565216,unruffled_dijkstra,ta-hdbscan,,0.6042572160927225,95.55377093002122
building_type,retail,,0.7466666666666667,0.1797175866495507,0.2897051215726849,0.6395348837209303,0.25806451612903225,0.0,unruffled_dijkstra,ta-hdbscan,,0.3539355520338088,81.85250673687948
building_type,park,,0.4222222222222222,0.0389344262295082,0.07129455909943716,0.7142857142857143,0.5,0.0,unruffled_dijkstra,ta-hdbscan,,0.10116731517509726,70.47192957136674
dwell_length,mid,,0.732360097323601,0.38246505717916135,0.5025041736227045,0.35,0.23076923076923078,0.1,unruffled_dijkstra,ta-hdbscan,,0.68431317915854,73.43190061611915
dwell_length,high,,0.9722345132743363,0.5832503815780742,0.7291053133684516,0.16216216216216217,0.06451612903225806,0.1724137931034483,unruffled_dijkstra,ta-hdbscan,,0.7723828920570266,94.39687503003631
dwell_length,low,,0.763671875,0.19073170731707317,0.3052302888368462,0.6285714285714286,0.2564102564102564,0.0,unruffled_dijkstra,ta-hdbscan,,0.359343737494998,84.94103472196868
general,all,11169.0,0.9990151311666219,0.5501972386587771,0.7095933098031734,0.4506172839506173,0.0,0.0,unruffled_dijkstra,oracle,0.028392791748046875,0.7095933098031734,100.0
building_size,medium,,1.0,0.6132552262807259,0.7602705589177644,0.4821428571428571,0.0,0.0,unruffled_dijkstra,oracle,,0.7602705589177644,100.0
building_size,big,,1.0,0.39657494708485663,0.5679250482226509,0.46031746031746035,0.0,0.0,unruffled_dijkstra,oracle,,0.5679250482226509,100.0
building_size,small,,1.0,0.6738389815312892,0.8051419389394752,0.39534883720930236,0.0,0.0,unruffled_dijkstra,oracle,,0.8051419389394752,100.0
building_type,home,,1.0,0.7237737200143215,0.8397549070516149,0.15384615384615385,0.0,0.0,unruffled_dijkstra,oracle,,0.8397549070516149,100.0
building_type,work,,1.0,0.4329287767486426,0.6042572160927225,0.25,0.0,0.0,unruffled_dijkstra,oracle,,0.6042572160927225,100.0
building_type,retail,,1.0,0.21501925545571246,0.3539355520338088,0.5930232558139534,0.0,0.0,unruffled_dijkstra,oracle,,0.3539355520338088,100.0
building_type,park,,1.0,0.05327868852459016,0.10116731517509726,0.6428571428571428,0.0,0.0,unruffled_dijkstra,oracle,,0.10116731517509726,100.00000000000001
dwell_length,mid,,1.0,0.5201185938161795,0.68431317915854,0.35,0.0,0.0,unruffled_dijkstra,oracle,,0.68431317915854,100.0
dwell_length,high,,1.0,0.6291724732895349,0.7723828920570266,0.1351351351351351,0.0,0.0,unruffled_dijkstra,oracle,,0.7723828920570266,100.0
dwell_length,low,,1.0,0.21902439024390244,0.359343737494998,0.5809523809523809,0.0,0.0,unruffled_dijkstra,oracle,,0.359343737494998,100.0
general,all,11332.0,0.8496293681609601,0.4747534516765286,0.6091357712261167,0.5,0.25925925925925924,0.03333333333333333,unruffled_dijkstra,tadbscan_coarse,0.47631382942199707,0.7095933098031734,85.84294169784076
building_size,medium,,0.9264240506329114,0.5380197564897772,0.6807150123528557,0.5178571428571428,0.2222222222222222,0.09523809523809523,unruffled_dijkstra,tadbscan_coarse,,0.7602705589177644,89.53589013388141
building_size,big,,0.6561461794019934,0.304021550894747,0.4155161078238001,0.5238095238095238,0.3,0.0,unruffled_dijkstra,tadbscan_coarse,,0.5679250482226509,73.1638988497123
building_size,small,,0.8890063424947146,0.603191680114757,0.71872663177011,0.4418604651162791,0.25,0.0,unruffled_dijkstra,tadbscan_coarse,,0.8051419389394752,89.26707168139936
building_type,home,,0.9417844060701204,0.6443788041532402,0.7651998299319728,0.15384615384615385,0.18181818181818182,0.1111111111111111,unruffled_dijkstra,tadbscan_coarse,,0.8397549070516149,91.12180512509232
building_type,work,,0.6664594342555176,0.34238262535931013,0.45236839329043144,0.25,0.3333333333333333,0.0,unruffled_dijkstra,tadbscan_coarse,,0.6042572160927225,74.86354837689122
building_type,retail,,0.7235772357723578,0.17137355584082156,0.2771146860404774,0.6511627906976745,0.26666666666666666,0.0,unruffled_dijkstra,tadbscan_coarse,,0.3539355520338088,78.29523890666024
building_type,park,,1.0,0.036885245901639344,0.07114624505928854,0.8571428571428572,0.0,0.0,unruffled_dijkstra,tadbscan_coarse,,0.10116731517509726,70.325326847066
dwell_length,mid,,0.46904761904761905,0.2503176620076239,0.32642916321458165,0.35,0.5384615384615384,0.0,unruffled_dijkstra,tadbscan_coarse,,0.68431317915854,47.70172095998101
dwell_length,high,,0.914686939077183,0.5748888446479528,0.7060309698451508,0.16216216216216217,0.16129032258064516,0.07692307692307693,unruffled_dijkstra,tadbscan_coarse,,0.7723828920570266,91.40945211316553
dwell_length,low,,0.723404255319149,0.1824390243902439,0.2913907284768212,0.6476190476190475,0.24324324324324326,0.0,unruffled_dijkstra,tadbscan_coarse,,0.359343737494998,81.08969158837151
general,all,8072.0,0.9417740336967294,0.37485207100591716,0.5362584650112867,0.5679012345679013,0.1,0.1875,unruffled_dijkstra,tadbscan_fine,0.2794060707092285,0.7095933098031734,75.57264951666946
building_size,medium,,0.9664677465188974,0.3906501263496439,0.55640081799591,0.5714285714285714,0.041666666666666664,0.30434782608695654,unruffled_dijkstra,tadbscan_fine,,0.7602705589177644,73.18458034044349
building_size,big,,0.9803451581975072,0.3934962478352896,0.5615817657558698,0.6031746031746033,0.04,0.0,unruffled_dijkstra,tadbscan_fine,,0.5679250482226509,98.88307753168615
building_size,small,,0.8861487875051377,0.3865877712031558,0.5383270911360799,0.5116279069767442,0.23809523809523808,0.29411764705882354,unruffled_dijkstra,tadbscan_fine,,0.8051419389394752,66.8611415081866
building_type,home,,0.9500786163522013,0.4326888650196921,0.5945879458794588,0.15384615384615385,0.13636363636363635,0.55,unruffled_dijkstra,tadbscan_fine,,0.8397549070516149,70.80493854654104
building_type,work,,0.9400452488687783,0.3981156180134142,0.5593448507964999,0.2777777777777778,0.07692307692307693,0.041666666666666664,unruffled_dijkstra,tadbscan_fine,,0.6042572160927225,92.56734316113969
building_type,retail,,0.9209621993127147,0.17201540436456997,0.28988642509464574,0.7558139534883721,0.09523809523809523,0.0,unruffled_dijkstra,tadbscan_fine,,0.3539355520338088,81.9037317468902
building_type,park,,1.0,0.014344262295081968,0.02828282828282828,0.9285714285714286,0.0,0.0,unruffled_dijkstra,tadbscan_fine,,0.10116731517509726,27.95648795648796
dwell_length,mid,,0.7216,0.3820415078356629,0.499584602603157,0.35,0.23076923076923078,0.0,unruffled_dijkstra,tadbscan_fine,,0.68431317915854,73.00525809213073
dwell_length,high,,0.9962305638448249,0.42093038688698653,0.5918081731666356,0.16216216216216217,0.03225806451612903,0.3870967741935484,unruffled_dijkstra,tadbscan_fine,,0.7723828920570266,76.62108770826337
dwell_length,low,,0.8479809976247031,0.17414634146341462,0.2889518413597733,0.7523809523809524,0.11538461538461539,0.0,unruffled_dijkstra,tadbscan_fine,,0.359343737494998,80.41098569689015
general,all,9412.0,0.9768380790480238,0.45335305719921104,0.6192913916206386,0.5185185185185186,0.20512820512820512,0.5616438356164384,unruffled_dijkstra,lachesis_coarse,0.046013832092285156,0.7095933098031734,87.27413055689848
building_size,medium,,0.9963627546071775,0.4719733517114634,0.6405300077942323,0.5357142857142857,0.11538461538461539,0.5384615384615384,unruffled_dijkstra,lachesis_coarse,,0.7602705589177644,84.25027120687386
building_size,big,,0.9780500255232262,0.36867423513565517,0.5354946897708217,0.5555555555555556,0.07142857142857142,0.6428571428571429,unruffled_dijkstra,lachesis_coarse,,0.5679250482226509,94.28967633082542
building_size,small,,0.9641010039549741,0.5682266451497221,0.7150270758122744,0.4418604651162791,0.4583333333333333,0.47368421052631576,unruffled_dijkstra,lachesis_coarse,,0.8051419389394752,88.80758053096835
building_type,home,,0.9888923171860536,0.5737558181167204,0.726181035459386,0.15384615384615385,0.3181818181818182,0.8636363636363636,unruffled_dijkstra,lachesis_coarse,,0.8397549070516149,86.47535481620612
building_type,work,,0.9794014768752429,0.40242733950814435,0.5704584040747029,0.3055555555555556,0.12,0.76,unruffled_dijkstra,lachesis_coarse,,0.6042572160927225,94.40655219037828
building_type,retail,,0.83,0.15982028241335045,0.2680301399354144,0.6627906976744187,0.20689655172413793,0.125,unruffled_dijkstra,lachesis_coarse,,0.3539355520338088,75.72851565637903
building_type,park,,1.0,0.030737704918032786,0.05964214711729622,0.8571428571428572,0.0,0.0,unruffled_dijkstra,lachesis_coarse,,0.10116731517509726,58.953968496712044
dwell_length,mid,,0.9671111111111111,0.4608216857263871,0.6242111302352267,0.35,0.15384615384615385,0.7692307692307693,unruffled_dijkstra,lachesis_coarse,,0.68431317915854,91.2171720852699
dwell_length,high,,0.9887969446212603,0.5154290264782003,0.6776304309893562,0.16216216216216217,0.25806451612903225,0.8709677419354839,unruffled_dijkstra,lachesis_coarse,,0.7723828920570266,87.73244953479954
dwell_length,low,,0.8692307692307693,0.1653658536585366,0.27786885245901644,0.6761904761904762,0.17647058823529413,0.13793103448275862,unruffled_dijkstra,lachesis_coarse,,0.359343737494998,77.32675526671294
general,all,5246.0,0.9180327868852459,0.23747534516765287,0.37734075060722405,0.5987654320987654,0.3230769230769231,0.65625,unruffled_dijkstra,lachesis_fine,0.06638193130493164,0.7095933098031734,53.177044568231715
building_size,medium,,0.9652061855670103,0.25809786354238456,0.40728656878738445,0.625,0.3333333333333333,0.7142857142857143,unruffled_dijkstra,lachesis_fine,,0.7602705589177644,53.571266703678724
building_size,big,,0.9680207433016422,0.21550894746969407,0.3525338369531005,0.6190476190476191,0.125,0.7083333333333334,unruffled_dijkstra,lachesis_fine,,0.5679250482226509,62.0740074867929
building_size,small,,0.8289473684210527,0.25981710597095214,0.39563139931740615,0.5348837209302326,0.55,0.5263157894736842,unruffled_dijkstra,lachesis_fine,,0.8051419389394752,49.13809356875979
building_type,home,,0.9097850678733032,0.28795202291442895,0.4374490073429427,0.15384615384615385,0.5909090909090909,0.9090909090909091,unruffled_dijkstra,lachesis_fine,,0.8397549070516149,52.09246217790249
building_type,work,,0.9528795811518325,0.23251357393803895,0.3738125802310654,0.3055555555555556,0.24,0.84,unruffled_dijkstra,lachesis_fine,,0.6042572160927225,61.863155337760055
