metric_category,category_value,algorithm,f1,f1_as_pct_orac
building_type,home,lachesis_coarse,0.42,65.81
building_type,home,ta-hdbscan,0.47,80.43
building_type,home,tadbscan_coarse,0.49,84.99
building_type,park,lachesis_coarse,0.02,124.32
building_type,park,ta-hdbscan,0.02,90.33
building_type,park,tadbscan_coarse,0.02,77.2
building_type,retail,lachesis_coarse,0.02,78.05
building_type,retail,ta-hdbscan,0.02,74.66
building_type,retail,tadbscan_coarse,0.02,58.15
building_type,workplace,lachesis_coarse,0.24,71.18
building_type,workplace,ta-hdbscan,0.26,89.31
building_type,workplace,tadbscan_coarse,0.24,81.91
dwell_length,high,lachesis_coarse,0.43,63.58
dwell_length,high,ta-hdbscan,0.53,83.79
dwell_length,high,tadbscan_coarse,0.49,84.52
dwell_length,low,lachesis_coarse,0.04,112.36
dwell_length,low,ta-hdbscan,0.03,78.8
dwell_length,low,tadbscan_coarse,0.03,66.36
