userid,start_time,end_time,duration,loc_msoa,activity_type,geometry,o_lat,o_lon,o_h7,o_h8,o_h9,o_oa,home_activity,home_msoa
037FC3C8B311868053DCB0361086DF1D,2021-11-01 00:15:00,2021-11-01 06:15:00,369.45,E02000679,Home,POINT (535871.3622524234 172385.7934279914),172385.7934279914,535871.3622524234,87194ad03ffffff,88194ad03bfffff,89194ad03a7ffff,E00016766,Y,E02000679
037FC3C8B311868053DCB0361086DF1D,2021-11-01 07:30:00,2021-11-01 08:00:00,39.41666666666666,E02000679,Home,POINT (535871.3622524234 172385.7934279914),172385.7934279914,535871.3622524234,87194ad03ffffff,88194ad03bfffff,89194ad03a7ffff,E00016766,Y,E02000679
037FC3C8B311868053DCB0361086DF1D,2021-11-01 09:30:00,2021-11-01 09:30:00,1.933333333333333,E02000087,Others,POINT (549413.3354099346 173710.57830915443),173710.57830915443,549413.3354099346,87194e6dcffffff,88194e6dcbfffff,89194e6dca7ffff,E00002181,N,E02000679
037FC3C8B311868053DCB0361086DF1D,2021-11-01 10:00:00,2021-11-01 13:15:00,201.86666666666667,E02000087,Others,POINT (549257.2844232109 173733.0231673032),173733.0231673032,549257.2844232109,87194e6dcffffff,88194e6dcbfffff,89194e6dcafffff,E00002181,N,E02000679
037FC3C8B311868053DCB0361086DF1D,2021-11-01 14:00:00,2021-11-02 21:45:00,1904.35,E02000679,Home,POINT (535871.3622524234 172385.7934279914),172385.7934279914,535871.3622524234,87194ad03ffffff,88194ad03bfffff,89194ad03a7ffff,E00016766,Y,E02000679
037FC3C8B311868053DCB0361086DF1D,2021-11-02 22:15:00,2021-11-02 22:30:00,3.733333333333333,E02000645,Entertainment,POINT (532223.3019509226 172193.15092340743),172193.15092340743,532223.3019509226,87194ad1cffffff,88194ad1c7fffff,89194ad1c63ffff,E00015438,N,E02000679
037FC3C8B311868053DCB0361086DF1D,2021-11-02 22:30:00,2021-11-02 22:30:00,1.5166666666666666,E02000642,Entertainment,POINT (531996.4291050793 173603.26039335367),173603.26039335367,531996.4291050793,87194ad1cffffff,88194ad1cdfffff,89194ad1ccbffff,E00016009,N,E02000679
037FC3C8B311868053DCB0361086DF1D,2021-11-02 22:45:00,2021-11-03 10:00:00,678.5833333333334,E02000679,Home,POINT (535871.3622524234 172385.7934279914),172385.7934279914,535871.3622524234,87194ad03ffffff,88194ad03bfffff,89194ad03a7ffff,E00016766,Y,E02000679
037FC3C8B311868053DCB0361086DF1D,2021-11-03 12:00:00,2021-11-03 12:00:00,2.7666666666666666,E02000679,Eating and drinking,POINT (535806.5258007747 172544.90142705792),172544.90142705792,535806.5258007747,87194ad03ffffff,88194ad03bfffff,89194ad03a3ffff,E00016764,N,E02000679
037FC3C8B311868053DCB0361086DF1D,2021-11-03 12:45:00,2021-11-04 08:30:00,1190.6166666666666,E02000679,Home,POINT (535871.3622524234 172385.7934279914),172385.7934279914,535871.3622524234,87194ad03ffffff,88194ad03bfffff,89194ad03a7ffff,E00016766,Y,E02000679
037FC3C8B311868053DCB0361086DF1D,2021-11-04 09:30:00,2021-11-04 09:30:00,2.533333333333333,E02000827,Others,POINT (532379.7388789803 176897.91256181078),176897.91256181078,532379.7388789803,87194ad15ffffff,88194ad151fffff,89194ad1517ffff,E00177625,N,E02000679
037FC3C8B311868053DCB0361086DF1D,2021-11-04 10:00:00,2021-11-04 10:00:00,1.2,E02000977,Others,POINT (530208.0074281172 180599.4487166981),180599.4487166981,530208.0074281172,87194ad32ffffff,88195da49bfffff,89194ad324fffff,E00023934,N,E02000679
037FC3C8B311868053DCB0361086DF1D,2021-11-04 10:30:00,2021-11-04 12:45:00,139.85,E02000001,Work,POINT (532196.7494230303 181700.25854027065),181700.25854027065,532196.7494230303,87194ad36ffffff,88194ad363fffff,89194ad362fffff,E00000005,N,E02000679
037FC3C8B311868053DCB0361086DF1D,2021-11-04 13:45:00,2021-11-04 13:45:00,1.1166666666666667,E02006802,Others,POINT (531797.6944277588 179308.049341088),179308.049341088,531797.6944277588,87194ad33ffffff,88194ad335fffff,89194ad335bffff,E00019801,N,E02000679
037FC3C8B311868053DCB0361086DF1D,2021-11-04 14:15:00,2021-11-04 14:15:00,1.1666666666666667,E02000833,Others,POINT (533079.7857396824 175623.68917652263),175623.68917652263,533079.7857396824,87194ad02ffffff,88194ad02dfffff,89194ad02c3ffff,E00167514,N,E02000679
037FC3C8B311868053DCB0361086DF1D,2021-11-04 15:00:00,2021-11-05 22:00:00,1861.3,E02000679,Home,POINT (535871.3622524234 172385.7934279914),172385.7934279914,535871.3622524234,87194ad03ffffff,88194ad03bfffff,89194ad03a7ffff,E00016766,Y,E02000679
037FC3C8B311868053DCB0361086DF1D,2021-11-05 22:15:00,2021-11-05 22:15:00,1.0666666666666669,E02000633,Entertainment,POINT (530991.2856378212 175138.01284893695),175138.01284893695,530991.2856378212,87194ad11ffffff,88194ad11dfffff,89194ad11c7ffff,E00016043,N,E02000679
037FC3C8B311868053DCB0361086DF1D,2021-11-05 22:30:00,2021-11-05 22:30:00,1.5,E02000625,Others,POINT (529975.5307275341 176316.98296490812),176316.98296490812,529975.5307275341,87194ad10ffffff,88194ad101fffff,89194ad1007ffff,E00177673,N,E02000679
037FC3C8B311868053DCB0361086DF1D,2021-11-05 22:30:00,2021-11-05 22:30:00,1.1166666666666667,E02000625,Entertainment,POINT (529799.0071978965 176385.87294266766),176385.87294266766,529799.0071978965,87194ad10ffffff,88194ad101fffff,89194ad1003ffff,E00015588,N,E02000679
037FC3C8B311868053DCB0361086DF1D,2021-11-05 22:30:00,2021-11-06 01:15:00,166.8,E02000624,Others,POINT (531150.3564238481 176793.13925343752),176793.13925343752,531150.3564238481,87194ad15ffffff,88194ad155fffff,89194ad1543ffff,E00016090,N,E02000679
037FC3C8B311868053DCB0361086DF1D,2021-11-06 02:15:00,2021-11-06 08:45:00,399.3333333333333,E02000679,Home,POINT (535871.3622524234 172385.7934279914),172385.7934279914,535871.3622524234,87194ad03ffffff,88194ad03bfffff,89194ad03a7ffff,E00016766,Y,E02000679
037FC3C8B311868053DCB0361086DF1D,2021-11-06 09:15:00,2021-11-06 09:15:00,1.1333333333333333,E02000687,Others,POINT (535978.1538210204 171469.95666977766),171469.95666977766,535978.1538210204,87194ad0effffff,88194ad0edfffff,89194ad0ecfffff,E00016863,N,E02000679
037FC3C8B311868053DCB0361086DF1D,2021-11-06 09:45:00,2021-11-06 09:45:00,1.3166666666666669,E02000217,Others,POINT (531572.8379304154 165068.12994207806),165068.12994207806,531572.8379304154,87194ac22ffffff,88194ac22dfffff,89194ac22c3ffff,E00005821,N,E02000679
037FC3C8B311868053DCB0361086DF1D,2021-11-06 09:45:00,2021-11-06 10:15:00,29.133333333333333,E02000221,Others,POINT (531512.7502943986 164243.48444878787),164243.48444878787,531512.7502943986,87194ac22ffffff,88194ac221fffff,89194ac220bffff,E00005837,N,E02000679
037FC3C8B311868053DCB0361086DF1D,2021-11-06 11:00:00,2021-11-06 11:30:00,21.83333333333333,E02000681,Shopping_2,POINT (537254.0525349227 172254.32053925234),172254.32053925234,537254.0525349227,87194ad01ffffff,88194ad013fffff,89194ad012bffff,E00016128,N,E02000679
037FC3C8B311868053DCB0361086DF1D,2021-11-06 12:30:00,2021-11-06 13:00:00,20.2,E02000828,Eating and drinking,POINT (534335.4133785935 176858.65030582488),176858.65030582488,534335.4133785935,87194ad06ffffff,88194ad061fffff,89194ad0607ffff,E00020201,N,E02000679
