GEOID10,population
42101009400,4123
42101009500,3065
42101009600,4311
42101013800,2118
42101013900,2960
42101014000,3042
42101014100,2510
42101014200,3923
42101014300,1709
42101014400,3774
42101014500,1774
42101014600,4097
42101014700,2952
42101014800,1003
42101014900,3387
42101015200,5769
42101015300,4074
42101015600,2048
42101019000,8371
42101019100,8857
42101019200,9019
42101019700,6843
42101019800,6970
42101019900,4080
42101020000,1327
42101020200,4358
42101020300,2906
42101020400,2631
42101020500,2759
42101020600,1664
42101001300,6108
42101001400,3936
42101001500,2868
42101001600,2173
42101001700,2948
42101001800,3263
42101001900,3159
42101002000,2039
42101002100,2294
42101002200,2309
42101002300,2836
42101002400,5319
42101002500,3914
42101002900,4167
42101003100,4064
42101005000,0
42101005400,1410
42101005500,6532
42101005600,1032
42101006000,6137
42101006100,3316
42101006200,5186
42101006300,4264
42101010000,4610
42101010100,7051
42101010200,3008
42101010300,2662
42101010400,4058
42101010500,4472
42101010600,1587
42101010700,3738
42101010800,3846
42101010900,2599
42101011000,3936
42101011100,3083
42101011200,4966
42101011300,2744
42101011400,7219
42101015700,2688
42101015800,6183
42101016000,6721
42101016100,5964
42101016200,2441
42101016300,3710
42101016400,4338
42101016500,2687
42101016600,1627
42101016800,3605
42101003901,6234
42101016902,5797
42101016901,3430
42101020700,5675
42101020800,2196
42101020900,2932
42101021000,4990
42101021100,2496
42101021200,2440
42101021300,3814
42101021400,4475
42101021500,3865
42101021600,2174
42101024100,1460
42101024200,3275
42101024300,3275
42101024400,2799
42101024500,3615
42101024600,2785
42101024700,4274
42101024800,2205
42101024900,3171
42101025200,7366
42101025300,4180
42101025400,4163
42101025500,2755
42101025600,2760
42101028300,6582
42101028400,4714
42101028500,2886
42101028600,7526
42101028700,2543
42101028800,4345
42101029000,7118
42101029100,4827
42101029200,4632
42101029300,3050
42101029400,2886
42101029800,5194
42101033300,4234
42101033400,5565
42101033500,4090
42101033600,7509
42101033800,6274
42101033900,3413
42101034000,2957
42101034100,5891
42101034200,3463
42101980200,715
42101034400,7967
42101034600,2664
42101006400,3682
42101006500,4207
42101006600,3368
42101036301,3454
42101036400,815
42101036600,1945
42101034803,4267
42101034702,3963
42101036202,5966
42101003800,3903
42101008302,4334
42101017602,4267
42101001002,3392
42101001001,2664
42101000402,3202
42101000401,2666
42101012204,3753
42101012203,643
42101013602,3667
42101034501,3482
42101034502,4989
42101001102,2566
42101000902,2663
42101000901,2159
42101017201,3194
42101017202,2991
42101027401,3329
42101020101,4025
42101020102,3083
42101031101,5506
42101031102,4364
42101019502,3649
42101019501,4437
42101028901,4434
42101028902,6994
42101033101,4768
42101033102,3628
42101031501,6349
42101030501,5939
42101030502,6708
42101009802,6445
42101018001,2662
42101017702,5441
42101017701,4012
42101035602,3268
42101035701,4562
42101035702,4239
42101035601,5318
42101015101,2317
42101015102,3507
42101036501,5137
42101980400,0
42101013402,2786
42101013401,2327
42101013601,2864
42101037900,5437
42101038200,2580
42101038000,2441
42101038100,796
42101038400,2449
42101000100,4012
42101000200,2563
42101000300,3530
42101000500,2451
42101000600,1301
42101000700,3254
42101003200,4631
42101003300,5970
42101003600,7379
42101003701,6255
42101003702,3998
42101004101,6410
42101004002,4992
42101003902,5894
42101004001,4035
42101004102,9485
42101004202,5828
42101004201,5354
42101007900,4443
42101008000,3889
42101008200,6413
42101017601,5728
42101008301,4809
42101008400,4803
42101008500,7415
42101009000,6173
42101009100,2793
42101009200,3568
42101009300,4109
42101006700,6512
42101006900,2542
42101007000,3530
42101007200,5046
42101007300,2529
42101007400,4377
42101007700,2102
42101007800,4276
42101011500,4766
42101011700,1899
42101011800,5856
42101011900,4738
42101012000,1749
42101012100,2933
42101012500,5191
42101013100,1710
42101013200,2757
42101013300,3763
42101013500,3781
42101013700,4805
42101017000,3114
42101017100,3997
42101017300,2607
42101017400,2204
42101017500,6850
42101017800,6224
42101017900,7283
42101018300,4004
42101018400,2434
42101018800,9162
42101021700,5850
42101021800,4358
42101021900,1508
42101022000,1772
42101980100,107
42101023100,1374
42101023500,1308
42101023600,2450
42101023700,5300
42101023800,4153
42101023900,1252
42101024000,3399
42101025700,3770
42101025800,1718
42101025900,4854
42101026000,3047
42101026100,3588
42101026200,4304
42101034801,4465
42101026302,5701
42101026400,5835
42101026500,5106
42101026600,6218
42101026700,6147
42101026800,4554
42101029900,4157
42101030000,7417
42101030100,5703
42101030200,7697
42101030600,8015
42101030700,3897
42101030800,4855
42101030900,4427
42101031000,8010
42101031200,5229
42101031300,6604
42101031600,6624
42101031700,5884
42101036303,6059
42101034701,6382
42101034802,5527
42101034900,5437
42101035100,3985
42101035200,3986
42101035301,5306
42101026301,4007
42101000804,4082
42101001202,5111
42101001201,4134
42101000803,3569
42101980900,4
42101002702,4273
42101003002,2988
42101003001,4431
42101002802,5903
42101980700,0
42101002701,4177
42101980600,0
42101033701,5552
42101033702,5230
42101031502,3852
42101031401,7421
42101031402,5558
42101016701,2871
42101016702,2796
42101027901,3661
42101027902,4304
42101008101,2343
42101007102,4610
42101008802,6680
42101008702,2628
42101008701,4841
42101008102,5497
42101008602,2241
42101037500,4178
42101980800,0
42101018002,5740
42101008801,2272
42101012201,3077
42101009801,2417
42101007101,2546
42101002801,4817
42101980500,0
42101000801,1588
42101001101,3666
42101027402,7241
42101008601,2860
42101036502,4134
42101036700,3003
42101037600,3058
42101038600,1410
42101038500,1866
42101038700,2572
42101038800,3895
42101038900,3181
42101980000,1026
42101026900,2224
42101027000,2975
42101027100,3106
42101027200,5049
42101027300,6815
42101027500,5309
42101027600,3589
42101027700,5118
42101027800,4507
42101028000,3986
42101028100,4452
42101028200,5530
42101031800,3920
42101031900,4938
42101032000,6237
42101032100,4265
42101032300,3074
42101032500,5818
42101032600,6532
42101989100,2926
42101032900,3188
42101033000,7231
42101033200,2691
42101980300,0
42101035500,6966
42101035800,6749
42101035900,5070
42101036000,3128
42101036100,3756
42101036203,5472
42101035302,4396
42101036201,4778
42101036302,3450
42101036900,5355
42101037300,5835
42101037200,4608
42101038300,3744
42101039000,9285
42101037800,2624
42101037700,5476
